plot_id,species_code,dbh_inches,sapling_count,datasheet_page,scientific_name,common_name,vegetation_type,beaver_preference,circle_name,dbh_inches_num
CCNWTD020,PSME,39.9,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D020,39.9
CCNWTD020,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,D020,0.25
CCNWTD020,TSHE,32,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,D020,32
CCNWTD020,TSHE,10,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,D020,10
CCNWTD020,TSHE,5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,D020,5
CCNWTD075,ABAM,20.7,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,D075,20.7
CCNWTD075,PSME,49,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D075,49
CCNWTD075,PSME,31.2,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D075,31.2
CCNWTD075,THPL,3.9,NA,NA,Thuja plicata,western redcedar,tree,NA,D075,3.9
CCNWTD075,TSHE,sapling,4,NA,Tsuga heterophylla,western hemlock,tree,NA,D075,0.25
CCNWTD075,TSHE,13.7,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,D075,13.7
CCNWTC020,PSME,38.4,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,C020,38.4
CCNWTC020,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,C020,0.25
CCNWTC130,PSME,30.1,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,C130,30.1
CCNWTC130,PSME,30.1,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,C130,30.1
CCNWTC130,PSME,45.8,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,C130,45.8
CCNWTC130,TSHE,5.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,5.5
CCNWTC130,TSHE,12.3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,12.3
CCNWTC130,TSHE,10.1,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,10.1
CCNWTC130,TSHE,5.0999999999999996,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,5.1
CCNWTC130,TSHE,4.9000000000000004,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C130,4.9
CCNWCG020,PSME,32.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,G020,32.5
CCNWCG020,TSHE,sapling,5,NA,Tsuga heterophylla,western hemlock,tree,NA,G020,0.25
CCNWCG020,TSHE,6.7,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G020,6.7
CCNWCG020,TSHE,12.6,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G020,12.6
CCNWCG075,ABAM,43,NA,NA,Abies amabilis,Pacific silver fir,tree,NA,G075,43
CCNWCG075,PSME,36.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,G075,36.5
CCNWCG075,THPL,7.6,NA,NA,Thuja plicata,western redcedar,tree,NA,G075,7.6
CCNWCG075,TSHE,21.3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G075,21.3
CCNWCG075,TSHE,sapling,9,NA,Tsuga heterophylla,western hemlock,tree,NA,G075,0.25
CCNWCG075,TSHE,11.8,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G075,11.8
CCNWCG130,PSME,21,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,G130,21
CCNWCG130,TSHE,22.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,G130,22.5
CCNWCG130,TSHE,sapling,20,NA,Tsuga heterophylla,western hemlock,tree,NA,G130,0.25
CCNWCE130,PSME,48,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,E130,48
CCNWCE130,THPL,6.8,NA,NA,Thuja plicata,western redcedar,tree,NA,E130,6.8
CCNWCE130,TSHE,sapling,2,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,0.25
CCNWCE130,TSHE,3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,3
CCNWCE130,TSHE,3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,3
CCNWCE130,TSHE,2,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,2
CCNWCE130,TSHE,4,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,4
CCNWCE130,TSHE,7.9,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,7.9
CCNWCE130,TSHE,5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E130,5
CCNWCE075,PSME,49.6,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,E075,49.6
CCNWCE075,THPL,9.6,NA,NA,Thuja plicata,western redcedar,tree,NA,E075,9.6
CCNWCE075,TSHE,2,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E075,2
CCNWCE075,TSHE,3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCNWCE075,TSHE,3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E075,3
CCNWCE075,TSHE,2,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E075,2
CCNWCE075,TSHE,31.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E075,31.5
CCNWCE020,TSHE,25.1,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E020,25.1
CCNWCE020,TSHE,13.8,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E020,13.8
CCNWCE020,TSHE,6.3,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,E020,6.3
CCNWCE020,TSHE,sapling,1,NA,Tsuga heterophylla,western hemlock,tree,NA,E020,0.25
CCNWTD130,PSME,25.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D130,25.5
CCNWTD130,PSME,23,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D130,23
CCNWTD130,PSME,23,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D130,23
CCNWTD130,PSME,37.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,D130,37.5
CCNWTD130,TSHE,sapling,10,NA,Tsuga heterophylla,western hemlock,tree,NA,D130,0.25
CCNWTD130,TSHE,3.9,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,D130,3.9
CCNWTD130,TSHE,6.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,D130,6.5
CCNWTC075,PSME,49,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,C075,49
CCNWTC075,TSHE,18,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C075,18
CCNWTC075,TSHE,3.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C075,3.5
CCNWTC075,TSHE,12,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,C075,12
CCNWCF020,PSME,58,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,F020,58
CCNWCF020,TSHE,sapling,15,NA,Tsuga heterophylla,western hemlock,tree,NA,F020,0.25
CCNWCF020,TSHE,2,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F020,2
CCNWCF075,PSME,49,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,F075,49
CCNWCF075,PSME,41.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,F075,41.5
CCNWCF075,TSHE,2,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F075,2
CCNWCF130,PSME,29.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,F130,29.5
CCNWCF130,TSHE,sapling,10,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,0.25
CCNWCF130,TSHE,18.100000000000001,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,18.1
CCNWCF130,TSHE,11,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,F130,11
CCNWCH020,PSME,31,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,H020,31
CCNWCH020,PSME,40,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,H020,40
CCNWCH020,PSME,35,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,H020,35
CCNWCH020,TSHE,1.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H020,1.5
CCNWCH020,TSHE,13,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H020,13
CCNWCH020,TSHE,10,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H020,10
CCNWCH075,PSME,39,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,H075,39
CCNWCH075,PSME,31.5,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,H075,31.5
CCNWCH075,THPL,14,NA,NA,Thuja plicata,western redcedar,tree,NA,H075,14
CCNWCH075,THPL,19.5,NA,NA,Thuja plicata,western redcedar,tree,NA,H075,19.5
CCNWCH075,TSHE,19,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H075,19
CCNWCH075,TSHE,1,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H075,1
CCNWCH130,PSME,33,NA,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,H130,33
CCNWCH130,TSHE,sapling,25,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,0.25
CCNWCH130,TSHE,0.25,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,0.25
CCNWCH130,TSHE,0.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,0.5
CCNWCH130,TSHE,0.5,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,0.5
CCNWCH130,TSHE,9,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,9
CCNWCH130,TSHE,31,NA,NA,Tsuga heterophylla,western hemlock,tree,NA,H130,31
CCWBTB020,ABAM,15.5,NA,30,Abies amabilis,Pacific silver fir,tree,NA,B020,15.5
CCWBTB020,ABAM,12,NA,30,Abies amabilis,Pacific silver fir,tree,NA,B020,12
CCWBTB020,ABAM,22,NA,30,Abies amabilis,Pacific silver fir,tree,NA,B020,22
CCWBTB020,TSHE,1,NA,30,Tsuga heterophylla,western hemlock,tree,NA,B020,1
CCWBTB020,TSHE,1,NA,30,Tsuga heterophylla,western hemlock,tree,NA,B020,1
CCWBTB130,ABAM,16,NA,31,Abies amabilis,Pacific silver fir,tree,NA,B130,16
CCWBTB130,ABAM,15,NA,31,Abies amabilis,Pacific silver fir,tree,NA,B130,15
CCWBTB130,TSHE,3.5,NA,31,Tsuga heterophylla,western hemlock,tree,NA,B130,3.5
CCWBTB075,ABAM,16.5,NA,31,Abies amabilis,Pacific silver fir,tree,NA,B075,16.5
CCWBTB075,ABAM,22.5,NA,31,Abies amabilis,Pacific silver fir,tree,NA,B075,22.5
CCWBTB075,TSHE,2.5,NA,31,Tsuga heterophylla,western hemlock,tree,NA,B075,2.5
CCWBTB075,TSHE,1.5,NA,31,Tsuga heterophylla,western hemlock,tree,NA,B075,1.5
CCWBTB075,TSHE,1.5,NA,31,Tsuga heterophylla,western hemlock,tree,NA,B075,1.5
CCWBCF130,PSME,43,NA,32,Pseudotsuga menziesii,Douglas fir,tree,NA,F130,43
CCWBCF130,PSME,31,NA,32,Pseudotsuga menziesii,Douglas fir,tree,NA,F130,31
CCWBCF130,TSHE,2.5,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F130,2.5
CCWBCF130,TSHE,8,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F130,8
CCWBCF130,TSHE,0.75,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F130,0.75
CCWBCF130,TSHE,10,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F130,10
CCWBCF130,TSHE,6.5,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F130,6.5
CCWBCF130,TSHE,0.25,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F130,0.25
CCWBCF130,TSHE,3.95,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F130,3.95
CCWBCF075,TSHE,42.5,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,42.5
CCWBCF075,TSHE,4,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,4
CCWBCF075,TSHE,10,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,10
CCWBCF075,TSHE,3.25,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,3.25
CCWBCF075,TSHE,3.5,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,3.5
CCWBCF075,TSHE,3,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,3
CCWBCF075,TSHE,51,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,51
CCWBCF075,TSHE,8.25,NA,32,Tsuga heterophylla,western hemlock,tree,NA,F075,8.25
CCWBCH020,TSHE,23,NA,33,Tsuga heterophylla,western hemlock,tree,NA,H020,23
CCWBCH075,PSME,52,NA,33,Pseudotsuga menziesii,Douglas fir,tree,NA,H075,52
CCWBCH075,PSME,23.5,NA,33,Pseudotsuga menziesii,Douglas fir,tree,NA,H075,23.5
CCWBCH075,TSHE,3,NA,33,Tsuga heterophylla,western hemlock,tree,NA,H075,3
CCWBCH075,TSHE,4.5,NA,33,Tsuga heterophylla,western hemlock,tree,NA,H075,4.5
CCWBCH075,TSHE,1.75,NA,33,Tsuga heterophylla,western hemlock,tree,NA,H075,1.75
CCWBCH130,TSHE,5,NA,34,Tsuga heterophylla,western hemlock,tree,NA,H130,5
CCWBCH130,TSHE,1.25,NA,34,Tsuga heterophylla,western hemlock,tree,NA,H130,1.25
CCWBTD130,ABAM,12.5,NA,35,Abies amabilis,Pacific silver fir,tree,NA,D130,12.5
CCWBTD130,ABAM,16.5,NA,35,Abies amabilis,Pacific silver fir,tree,NA,D130,16.5
CCWBTD020,ABAM,17.5,NA,36,Abies amabilis,Pacific silver fir,tree,NA,D020,17.5
CCWBTD020,ABAM,17,NA,36,Abies amabilis,Pacific silver fir,tree,NA,D020,17
CCWBTD020,ABAM,1,NA,36,Abies amabilis,Pacific silver fir,tree,NA,D020,1
CCWBTD020,ABAM,18,NA,36,Abies amabilis,Pacific silver fir,tree,NA,D020,18
CCWBTD020,TSHE,1,NA,36,Tsuga heterophylla,western hemlock,tree,NA,D020,1
CCWBTD075,ABAM,18,NA,36,Abies amabilis,Pacific silver fir,tree,NA,D075,18
CCWBTD075,ABAM,10,NA,36,Abies amabilis,Pacific silver fir,tree,NA,D075,10
CCWBTD075,TSHE,3,NA,36,Tsuga heterophylla,western hemlock,tree,NA,D075,3
CCWBCG075,TSHE,8.5,NA,37,Tsuga heterophylla,western hemlock,tree,NA,G075,8.5
CCWBCG075,TSHE,31,NA,37,Tsuga heterophylla,western hemlock,tree,NA,G075,31
CCWBCG075,TSHE,15,NA,37,Tsuga heterophylla,western hemlock,tree,NA,G075,15
CCWBCG075,TSHE,47,NA,37,Tsuga heterophylla,western hemlock,tree,NA,G075,47
CCWBCG075,TSHE,52,NA,37,Tsuga heterophylla,western hemlock,tree,NA,G075,52
CCWBCG075,TSHE,sapling,10,37,Tsuga heterophylla,western hemlock,tree,NA,G075,0.25
CCWBCG130,PSME,40,NA,38,Pseudotsuga menziesii,Douglas fir,tree,NA,G130,40
CCWBCG130,TSHE,27,NA,38,Tsuga heterophylla,western hemlock,tree,NA,G130,27
CCWBCG130,TSHE,8,NA,38,Tsuga heterophylla,western hemlock,tree,NA,G130,8
CCWBCG130,TSHE,36,NA,38,Tsuga heterophylla,western hemlock,tree,NA,G130,36
CCWBCG130,TSHE,1,NA,38,Tsuga heterophylla,western hemlock,tree,NA,G130,1
CCWBCE020,TSHE,6,NA,39,Tsuga heterophylla,western hemlock,tree,NA,E020,6
CCWBCE020,TSHE,8,NA,39,Tsuga heterophylla,western hemlock,tree,NA,E020,8
CCWBCE020,TSHE,3,NA,39,Tsuga heterophylla,western hemlock,tree,NA,E020,3
CCWBCE020,TSHE,4,NA,39,Tsuga heterophylla,western hemlock,tree,NA,E020,4
CCWBCE020,TSHE,1,NA,39,Tsuga heterophylla,western hemlock,tree,NA,E020,1
CCWBTC130,TSHE,30,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C130,30
CCWBTC130,TSHE,3,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C130,3
CCWBTC130,TSHE,3,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C130,3
CCWBTC130,TSHE,1,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C130,1
CCWBTC130,TSHE,1,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C130,1
CCWBTC075,ALRU,15,NA,40,Alnus rubra,red alder,tree,NA,C075,15
CCWBTC075,ALRU,5,NA,40,Alnus rubra,red alder,tree,NA,C075,5
CCWBTC075,TSHE,5,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C075,5
CCWBTC075,TSHE,36,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C075,36
CCWBTC075,TSHE,2,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C075,2
CCWBTC075,TSHE,1,NA,40,Tsuga heterophylla,western hemlock,tree,NA,C075,1
CCWBTC020,ALRU,22,NA,41,Alnus rubra,red alder,tree,NA,C020,22
CCWBTC020,ALRU,sapling,10,41,Alnus rubra,red alder,tree,NA,C020,0.25
